shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,25.789842,-80.374116,1
1,25.789856,-80.376591,2
1,25.790167,-80.382720,3
1,25.788982,-80.381359,4
1,25.788770,-80.379875,5
1,25.788495,-80.378306,6
1,25.788061,-80.377542,7
1,25.787526,-80.377005,8
1,25.786340,-80.377756,9
1,25.786288,-80.379077,10
1,25.786295,-80.381403,11
1,25.787467,-80.383355,12
1,25.788658,-80.384232,13
1,25.790182,-80.382716,14
1,25.792441,-80.384875,15
1,25.796089,-80.384969,16
1,25.796756,-80.380409,17
1,25.796825,-80.369556,18
1,25.795821,-80.369141,19
1,25.791140,-80.369053,20
1,25.788252,-80.368964,21
1,25.786728,-80.368925,22
1,25.785788,-80.368890,23
1,25.775014,-80.369670,24
1,25.773186,-80.369493,25
1,25.770899,-80.369308,26
1,25.768930,-80.369127,27
1,25.768546,-80.373628,28
1,25.764667,-80.374820,29
1,25.764048,-80.374683,30
1,25.764052,-80.373102,31
1,25.764056,-80.372703,32
1,25.763737,-80.372658,33
1,25.762511,-80.374408,34
1,25.761653,-80.374474,35
1,25.761595,-80.379491,36
1,25.766016,-80.380840,37
1,25.768366,-80.382832,38
1,25.768327,-80.383487,39
1,25.768286,-80.384690,40
